plant,plant_types,sourcing_vendor,material,brand,sub_brand,product_type,product_subtype,window_tag,customer,ship_to_customer,key_account,key_account_grouper,country
Plant_421,Plant_Type_2,Vendor_993,MAT001622,Brand_353,Sub_Brand_18,Product_Type_321,Product_SubType_321-3,Null,Customer_5922,ShipToCustomer_804,Key_Account_184,Region_23,Country_3
Plant_38,Plant_Type_3,Vendor_309,MAT000093,Brand_6858,Sub_Brand_84,Product_Type_831,Product_SubType_831-4,Null,Customer_6726,ShipToCustomer_952,Key_Account_313,Region_40,Country_10
Plant_496,Plant_Type_3,Vendor_833,MAT002425,Brand_7682,Sub_Brand_91,Product_Type_1464,Product_SubType_1464-2,Null,Customer_7395,ShipToCustomer_551,Key_Account_88,Region_35,Country_1
Plant_337,Plant_Type_3,Vendor_929,MAT001731,Brand_5147,Sub_Brand_104,Product_Type_1436,Product_SubType_1436-3,Null,Customer_4533,ShipToCustomer_27,Key_Account_44,Region_40,Country_15
Plant_280,Plant_Type_1,Vendor_578,MAT002384,Brand_6784,Sub_Brand_4,Product_Type_677,Product_SubType_677-3,WindowQ4,Customer_114,ShipToCustomer_560,Key_Account_247,Region_16,Country_13
Plant_605,Plant_Type_1,Vendor_764,MAT000020,Brand_4362,Sub_Brand_47,Product_Type_512,Product_SubType_512-5,WindowQ2,Customer_4107,ShipToCustomer_893,Key_Account_65,Region_33,Country_5
Plant_53,Plant_Type_4,Vendor_719,MAT000886,Brand_4460,Sub_Brand_26,Product_Type_1172,Product_SubType_1172-2,WindowQ2,Customer_5550,ShipToCustomer_508,Key_Account_98,Region_18,Country_5
Plant_585,Plant_Type_4,Vendor_999,MAT001839,Brand_4437,Sub_Brand_79,Product_Type_729,Product_SubType_729-2,WindowQ4,Customer_1239,ShipToCustomer_449,Key_Account_36,Region_41,Country_4
Plant_52,Plant_Type_1,Vendor_7,MAT001156,Brand_2419,Sub_Brand_110,Product_Type_714,Product_SubType_714-1,Null,Customer_6785,ShipToCustomer_922,Key_Account_22,Region_46,Country_1
Plant_190,Plant_Type_1,Vendor_737,MAT002464,Brand_2671,Sub_Brand_108,Product_Type_604,Product_SubType_604-1,Null,Customer_1988,ShipToCustomer_859,Key_Account_113,Region_1,Country_14
Plant_633,Plant_Type_4,Vendor_353,MAT000109,Brand_3626,Sub_Brand_8,Product_Type_1355,Product_SubType_1355-3,Null,Customer_3693,ShipToCustomer_437,Key_Account_42,Region_37,Country_11
Plant_729,Plant_Type_4,Vendor_907,MAT002068,Brand_7706,Sub_Brand_15,Product_Type_776,Product_SubType_776-3,WindowQ1,Customer_2202,ShipToCustomer_62,Key_Account_78,Region_4,Country_3
Plant_716,Plant_Type_3,Vendor_945,MAT001206,Brand_7519,Sub_Brand_8,Product_Type_160,Product_SubType_160-1,Null,Customer_2602,ShipToCustomer_43,Key_Account_368,Region_24,Country_4
Plant_133,Plant_Type_3,Vendor_582,MAT002673,Brand_5878,Sub_Brand_90,Product_Type_13,Product_SubType_13-1,Null,Customer_6737,ShipToCustomer_428,Key_Account_395,Region_4,Country_4
Plant_387,Plant_Type_1,Vendor_733,MAT001014,Brand_6394,Sub_Brand_92,Product_Type_741,Product_SubType_741-2,Null,Customer_585,ShipToCustomer_911,Key_Account_376,Region_8,Country_8
Plant_53,Plant_Type_4,Vendor_912,MAT002609,Brand_6046,Sub_Brand_148,Product_Type_1167,Product_SubType_1167-3,Null,Customer_5185,ShipToCustomer_360,Key_Account_59,Region_42,Country_1
Plant_724,Plant_Type_1,Vendor_536,MAT001812,Brand_6341,Sub_Brand_106,Product_Type_1401,Product_SubType_1401-5,Null,Customer_2807,ShipToCustomer_722,Key_Account_24,Region_31,Country_5
Plant_618,Plant_Type_2,Vendor_61,MAT000506,Brand_434,Sub_Brand_34,Product_Type_345,Product_SubType_345-5,Null,Customer_470,ShipToCustomer_91,Key_Account_392,Region_48,Country_2
Plant_621,Plant_Type_4,Vendor_936,MAT000430,Brand_6916,Sub_Brand_56,Product_Type_415,Product_SubType_415-4,Null,Customer_2135,ShipToCustomer_30,Key_Account_262,Region_13,Country_1
Plant_649,Plant_Type_4,Vendor_785,MAT000016,Brand_1791,Sub_Brand_12,Product_Type_650,Product_SubType_650-2,WindowQ2,Customer_3661,ShipToCustomer_455,Key_Account_156,Region_26,Country_10
Plant_266,Plant_Type_1,Vendor_242,MAT002679,Brand_2874,Sub_Brand_22,Product_Type_1121,Product_SubType_1121-5,WindowQ3,Customer_7716,ShipToCustomer_221,Key_Account_251,Region_22,Country_15
Plant_168,Plant_Type_4,Vendor_819,MAT001732,Brand_992,Sub_Brand_2,Product_Type_1030,Product_SubType_1030-1,Null,Customer_1762,ShipToCustomer_165,Key_Account_303,Region_40,Country_4
Plant_716,Plant_Type_3,Vendor_649,MAT002513,Brand_7503,Sub_Brand_18,Product_Type_326,Product_SubType_326-2,Null,Customer_298,ShipToCustomer_139,Key_Account_32,Region_12,Country_1
Plant_698,Plant_Type_3,Vendor_181,MAT001005,Brand_6974,Sub_Brand_131,Product_Type_960,Product_SubType_960-4,Null,Customer_4906,ShipToCustomer_846,Key_Account_165,Region_32,Country_11
Plant_754,Plant_Type_1,Vendor_85,MAT000986,Brand_5100,Sub_Brand_40,Product_Type_1018,Product_SubType_1018-4,Null,Customer_909,ShipToCustomer_2,Key_Account_22,Region_46,Country_2
Plant_505,Plant_Type_3,Vendor_582,MAT002894,Brand_2630,Sub_Brand_27,Product_Type_385,Product_SubType_385-3,WindowQ2,Customer_7542,ShipToCustomer_420,Key_Account_78,Region_4,Country_6
Plant_566,Plant_Type_3,Vendor_666,MAT001155,Brand_1300,Sub_Brand_124,Product_Type_211,Product_SubType_211-4,Null,Customer_4230,ShipToCustomer_954,Key_Account_128,Region_27,Country_5
Plant_677,Plant_Type_4,Vendor_497,MAT000289,Brand_5950,Sub_Brand_26,Product_Type_1385,Product_SubType_1385-3,Null,Customer_575,ShipToCustomer_133,Key_Account_91,Region_33,Country_13
Plant_362,Plant_Type_1,Vendor_415,MAT000111,Brand_2696,Sub_Brand_61,Product_Type_904,Product_SubType_904-2,Null,Customer_201,ShipToCustomer_87,Key_Account_138,Region_2,Country_11
Plant_773,Plant_Type_4,Vendor_408,MAT000642,Brand_4372,Sub_Brand_72,Product_Type_1025,Product_SubType_1025-2,WindowQ2,Customer_6975,ShipToCustomer_936,Key_Account_261,Region_32,Country_10
Plant_720,Plant_Type_4,Vendor_893,MAT002934,Brand_3561,Sub_Brand_47,Product_Type_1000,Product_SubType_1000-1,WindowQ4,Customer_4038,ShipToCustomer_802,Key_Account_378,Region_39,Country_13
Plant_312,Plant_Type_1,Vendor_693,MAT000615,Brand_7408,Sub_Brand_2,Product_Type_1422,Product_SubType_1422-2,Null,Customer_1547,ShipToCustomer_523,Key_Account_222,Region_3,Country_3
Plant_470,Plant_Type_3,Vendor_348,MAT001566,Brand_4268,Sub_Brand_27,Product_Type_658,Product_SubType_658-8,Null,Customer_1200,ShipToCustomer_792,Key_Account_80,Region_20,Country_1
Plant_265,Plant_Type_2,Vendor_236,MAT002168,Brand_4092,Sub_Brand_136,Product_Type_1100,Product_SubType_1100-2,WindowQ3,Customer_5237,ShipToCustomer_738,Key_Account_179,Special,Country_8
Plant_652,Plant_Type_1,Vendor_192,MAT002746,Brand_334,Sub_Brand_137,Product_Type_1137,Product_SubType_1137-5,Null,Customer_4010,ShipToCustomer_332,Key_Account_190,Region_22,Country_12
Plant_356,Plant_Type_4,Vendor_886,MAT002546,Brand_4692,Sub_Brand_145,Product_Type_301,Product_SubType_301-1,WindowQ3,Customer_5766,ShipToCustomer_842,Key_Account_191,WorldWide,Country_7
Plant_598,Plant_Type_1,Vendor_835,MAT001674,Brand_1432,Sub_Brand_38,Product_Type_122,Product_SubType_122-6,WindowQ1,Customer_3807,ShipToCustomer_179,Key_Account_273,Region_14,Country_2
Plant_596,Plant_Type_3,Vendor_529,MAT001388,Brand_2165,Sub_Brand_21,Product_Type_5,Product_SubType_5-2,WindowQ1,Customer_2803,ShipToCustomer_586,Key_Account_33,Region_16,Country_12
Plant_296,Plant_Type_1,Vendor_278,MAT001745,Brand_7706,Sub_Brand_46,Product_Type_283,Product_SubType_283-2,Null,Customer_1924,ShipToCustomer_60,Key_Account_141,Region_2,Country_1
Plant_392,Plant_Type_4,Vendor_950,MAT002083,Brand_5263,Sub_Brand_139,Product_Type_515,Product_SubType_515-3,Null,Customer_3892,ShipToCustomer_279,Key_Account_210,Region_42,Country_2
Plant_744,Plant_Type_2,Vendor_261,MAT000719,Brand_296,Sub_Brand_89,Product_Type_460,Product_SubType_460-1,WindowQ3,Customer_5061,ShipToCustomer_425,Key_Account_377,Region_20,Country_2
Plant_671,Plant_Type_1,Vendor_961,MAT002122,Brand_2476,Sub_Brand_94,Product_Type_1235,Product_SubType_1235-3,Null,Customer_6236,ShipToCustomer_753,Key_Account_156,Region_26,Country_6
Plant_104,Plant_Type_3,Vendor_595,MAT002079,Brand_2973,Sub_Brand_33,Product_Type_405,Product_SubType_405-1,Null,Customer_4312,ShipToCustomer_467,Key_Account_272,Region_32,Country_5
Plant_423,Plant_Type_4,Vendor_795,MAT000347,Brand_4297,Sub_Brand_52,Product_Type_473,Product_SubType_473-3,WindowQ4,Customer_4230,ShipToCustomer_236,Key_Account_128,Region_27,Country_5
Plant_564,Plant_Type_1,Vendor_637,MAT000402,Brand_7171,Sub_Brand_47,Product_Type_742,Product_SubType_742-1,WindowQ2,Customer_666,ShipToCustomer_724,Key_Account_271,Region_26,Country_5
Plant_329,Plant_Type_1,Vendor_347,MAT001850,Brand_3281,Sub_Brand_130,Product_Type_991,Product_SubType_991-5,WindowQ2,Customer_3157,ShipToCustomer_683,Key_Account_390,Region_41,Country_3
Plant_361,Plant_Type_4,Vendor_573,MAT002902,Brand_1315,Sub_Brand_128,Product_Type_829,Product_SubType_829-2,Null,Customer_2544,ShipToCustomer_192,Key_Account_336,Region_8,Country_1
Plant_68,Plant_Type_2,Vendor_28,MAT000988,Brand_2369,Sub_Brand_82,Product_Type_1412,Product_SubType_1412-3,Null,Customer_1079,ShipToCustomer_210,Key_Account_346,Region_9,Country_1
Plant_670,Plant_Type_2,Vendor_495,MAT000872,Brand_3629,Sub_Brand_117,Product_Type_951,Product_SubType_951-1,WindowQ2,Customer_1900,ShipToCustomer_447,Key_Account_354,Region_18,Country_15
Plant_600,Plant_Type_1,Vendor_284,MAT001018,Brand_6663,Sub_Brand_143,Product_Type_400,Product_SubType_400-1,Null,Customer_7895,ShipToCustomer_57,Key_Account_190,Region_22,Country_9
Plant_762,Plant_Type_2,Vendor_111,MAT000317,Brand_7676,Sub_Brand_140,Product_Type_1023,Product_SubType_1023-4,Null,Customer_7033,ShipToCustomer_393,Key_Account_303,Region_40,Country_8
Plant_766,Plant_Type_4,Vendor_369,MAT000030,Brand_956,Sub_Brand_44,Product_Type_48,Product_SubType_48-4,Null,Customer_3215,ShipToCustomer_408,Key_Account_232,Region_2,Country_12
Plant_146,Plant_Type_4,Vendor_221,MAT001908,Brand_2557,Sub_Brand_10,Product_Type_427,Product_SubType_427-1,WindowQ4,Customer_7949,ShipToCustomer_468,Key_Account_279,Region_18,Country_7
Plant_19,Plant_Type_2,Vendor_330,MAT002498,Brand_2357,Sub_Brand_79,Product_Type_666,Product_SubType_666-2,WindowQ1,Customer_658,ShipToCustomer_272,Key_Account_308,Region_23,Country_8
