soldto,c_relationship
Customer_10,Transactional
Customer_100,Advanced Business Ties
Customer_100,Opportunistic
Customer_1000,Opportunistic
Customer_1000,Pure Business
Customer_1001,Advanced Business Ties
Customer_1001,Partnership
Customer_1001,Pure Business
Customer_1001,Transactional
Customer_1002,Opportunistic
Customer_1004,Partnership
Customer_1005,Partnership
Customer_1006,Advanced Business Ties
Customer_1006,Partnership
Customer_1007,Transactional
Customer_1008,Partnership
Customer_1009,Opportunistic
Customer_1009,Pure Business
Customer_1009,Transactional
Customer_101,Opportunistic
Customer_1011,Partnership
Customer_1011,Pure Business
Customer_1011,Transactional
Customer_1012,Pure Business
Customer_1013,Transactional
Customer_1014,Advanced Business Ties
Customer_1014,Pure Business
Customer_1015,Opportunistic
Customer_1016,Pure Business
Customer_1017,Partnership
Customer_1017,Transactional
Customer_1019,Advanced Business Ties
Customer_1019,Transactional
Customer_1021,Pure Business
Customer_1022,Transactional
Customer_1023,Pure Business
Customer_1024,Opportunistic
Customer_1025,Transactional
Customer_1027,Pure Business
Customer_1028,Advanced Business Ties
Customer_1028,Opportunistic
Customer_1030,Advanced Business Ties
Customer_1030,Partnership
Customer_1030,Pure Business
Customer_1030,Transactional
Customer_1031,Pure Business
Customer_1033,Opportunistic
Customer_1035,Opportunistic
Customer_1036,Transactional
Customer_1038,Transactional
Customer_1039,Advanced Business Ties
Customer_1039,Pure Business
Customer_104,Opportunistic
Customer_1041,Advanced Business Ties
Customer_1041,Opportunistic
Customer_1041,Transactional
Customer_1043,Transactional
Customer_1045,Pure Business
Customer_1046,Opportunistic
Customer_1047,Advanced Business Ties
Customer_1048,Partnership
Customer_1049,Opportunistic
Customer_1049,Transactional
Customer_105,Pure Business
Customer_1050,Pure Business
Customer_1050,Transactional
Customer_1055,Advanced Business Ties
Customer_1055,Partnership
Customer_1056,Opportunistic
Customer_1056,Transactional
Customer_1057,Advanced Business Ties
Customer_1058,Advanced Business Ties
Customer_106,Transactional
Customer_1060,Pure Business
Customer_1061,Advanced Business Ties
Customer_1061,Transactional
Customer_1063,Advanced Business Ties
Customer_1064,Advanced Business Ties
Customer_1064,Pure Business
Customer_1065,Partnership
Customer_1067,Transactional
Customer_1068,Advanced Business Ties
Customer_1068,Pure Business
Customer_107,Opportunistic
Customer_107,Transactional
Customer_1071,Advanced Business Ties
Customer_1071,Transactional
Customer_1074,Pure Business
Customer_1075,Pure Business
Customer_1077,Transactional
Customer_1078,Opportunistic
Customer_1079,Advanced Business Ties
Customer_1079,Pure Business
Customer_108,Partnership
Customer_1081,Opportunistic
Customer_1081,Pure Business
Customer_1082,Partnership
Customer_1083,Advanced Business Ties
Customer_1083,Opportunistic
Customer_1083,Partnership
Customer_1083,Transactional
