material,material_type
MAT000001,Material_Type_1
MAT000002,Material_Type_2
MAT000003,Material_Type_2
MAT000004,Material_Type_2
MAT000005,Material_Type_1
MAT000006,Material_Type_2
MAT000007,Material_Type_2
MAT000008,Material_Type_2
MAT000009,Material_Type_1
MAT000010,Material_Type_1
MAT000011,Material_Type_2
MAT000012,Material_Type_1
MAT000013,Material_Type_2
MAT000014,Material_Type_1
MAT000015,Material_Type_1
MAT000016,Material_Type_2
MAT000017,Material_Type_1
MAT000018,Material_Type_1
MAT000019,Material_Type_1
MAT000020,Material_Type_1
MAT000021,Material_Type_1
MAT000022,Material_Type_2
MAT000023,Material_Type_2
MAT000024,Material_Type_1
MAT000025,Material_Type_2
MAT000026,Material_Type_2
MAT000027,Material_Type_1
MAT000028,Material_Type_1
MAT000029,Material_Type_1
MAT000030,Material_Type_2
MAT000031,Material_Type_2
MAT000032,Material_Type_2
MAT000033,Material_Type_2
MAT000034,Material_Type_1
MAT000035,Material_Type_1
MAT000036,Material_Type_1
MAT000037,Material_Type_2
MAT000038,Material_Type_1
MAT000039,Material_Type_2
MAT000040,Material_Type_2
MAT000041,Material_Type_2
MAT000042,Material_Type_1
MAT000043,Material_Type_1
MAT000044,Material_Type_2
MAT000045,Material_Type_2
MAT000046,Material_Type_1
MAT000047,Material_Type_2
MAT000048,Material_Type_1
MAT000049,Material_Type_1
MAT000050,Material_Type_1
MAT000051,Material_Type_1
MAT000052,Material_Type_1
MAT000053,Material_Type_1
MAT000054,Material_Type_1
MAT000055,Material_Type_2
MAT000056,Material_Type_1
MAT000057,Material_Type_2
MAT000058,Material_Type_2
MAT000059,Material_Type_1
MAT000060,Material_Type_1
MAT000061,Material_Type_1
MAT000062,Material_Type_2
MAT000063,Material_Type_2
MAT000064,Material_Type_1
MAT000065,Material_Type_2
MAT000066,Material_Type_2
MAT000067,Material_Type_1
MAT000068,Material_Type_1
MAT000069,Material_Type_1
MAT000070,Material_Type_2
MAT000071,Material_Type_1
MAT000072,Material_Type_2
MAT000073,Material_Type_2
MAT000074,Material_Type_2
MAT000075,Material_Type_1
MAT000076,Material_Type_1
MAT000077,Material_Type_2
MAT000078,Material_Type_1
MAT000079,Material_Type_2
MAT000080,Material_Type_1
MAT000081,Material_Type_2
MAT000082,Material_Type_1
MAT000083,Material_Type_1
MAT000084,Material_Type_2
MAT000085,Material_Type_1
MAT000086,Material_Type_1
MAT000087,Material_Type_1
MAT000088,Material_Type_2
MAT000089,Material_Type_1
MAT000090,Material_Type_1
MAT000091,Material_Type_2
MAT000092,Material_Type_1
MAT000093,Material_Type_1
MAT000094,Material_Type_2
MAT000095,Material_Type_1
MAT000096,Material_Type_1
MAT000097,Material_Type_1
MAT000098,Material_Type_1
MAT000099,Material_Type_2
MAT000100,Material_Type_1
MAT000101,Material_Type_2
MAT000102,Material_Type_2
MAT000103,Material_Type_2
MAT000104,Material_Type_1
MAT000105,Material_Type_2
MAT000106,Material_Type_1
MAT000107,Material_Type_2
MAT000108,Material_Type_1
MAT000109,Material_Type_2
MAT000110,Material_Type_1
MAT000111,Material_Type_2
MAT000112,Material_Type_1
MAT000113,Material_Type_1
MAT000114,Material_Type_1
MAT000115,Material_Type_2
MAT000116,Material_Type_2
MAT000117,Material_Type_2
MAT000118,Material_Type_2
MAT000119,Material_Type_1
MAT000120,Material_Type_1
MAT000121,Material_Type_2
MAT000122,Material_Type_2
MAT000123,Material_Type_1
MAT000124,Material_Type_2
MAT000125,Material_Type_2
MAT000126,Material_Type_1
MAT000127,Material_Type_1
MAT000128,Material_Type_2
MAT000129,Material_Type_1
MAT000130,Material_Type_2
MAT000131,Material_Type_1
MAT000132,Material_Type_2
MAT000133,Material_Type_2
MAT000134,Material_Type_2
MAT000135,Material_Type_1
MAT000136,Material_Type_2
MAT000137,Material_Type_1
MAT000138,Material_Type_2
MAT000139,Material_Type_1
MAT000140,Material_Type_2
MAT000141,Material_Type_2
MAT000142,Material_Type_1
MAT000143,Material_Type_2
MAT000144,Material_Type_2
MAT000145,Material_Type_2
MAT000146,Material_Type_1
MAT000147,Material_Type_1
MAT000148,Material_Type_1
MAT000149,Material_Type_2
MAT000150,Material_Type_1
MAT000151,Material_Type_2
MAT000152,Material_Type_2
MAT000153,Material_Type_2
MAT000154,Material_Type_1
MAT000155,Material_Type_1
MAT000156,Material_Type_2
MAT000157,Material_Type_2
MAT000158,Material_Type_2
MAT000159,Material_Type_2
MAT000160,Material_Type_2
MAT000161,Material_Type_1
MAT000162,Material_Type_2
MAT000163,Material_Type_2
MAT000164,Material_Type_1
MAT000165,Material_Type_2
MAT000166,Material_Type_1
MAT000167,Material_Type_2
MAT000168,Material_Type_2
MAT000169,Material_Type_1
MAT000170,Material_Type_1
MAT000171,Material_Type_2
MAT000172,Material_Type_1
MAT000173,Material_Type_2
MAT000174,Material_Type_1
MAT000175,Material_Type_1
MAT000176,Material_Type_1
MAT000177,Material_Type_2
MAT000178,Material_Type_1
MAT000179,Material_Type_1
MAT000180,Material_Type_2
MAT000181,Material_Type_1
MAT000182,Material_Type_1
MAT000183,Material_Type_2
MAT000184,Material_Type_2
MAT000185,Material_Type_2
MAT000186,Material_Type_2
MAT000187,Material_Type_1
MAT000188,Material_Type_2
MAT000189,Material_Type_1
MAT000190,Material_Type_2
MAT000191,Material_Type_2
MAT000192,Material_Type_1
MAT000193,Material_Type_1
MAT000194,Material_Type_2
MAT000195,Material_Type_2
MAT000196,Material_Type_1
MAT000197,Material_Type_2
MAT000198,Material_Type_2
MAT000199,Material_Type_2
MAT000200,Material_Type_1
MAT000201,Material_Type_1
MAT000202,Material_Type_1
MAT000203,Material_Type_1
MAT000204,Material_Type_1
MAT000205,Material_Type_2
MAT000206,Material_Type_2
MAT000207,Material_Type_1
MAT000208,Material_Type_1
MAT000209,Material_Type_1
MAT000210,Material_Type_1
MAT000211,Material_Type_1
MAT000212,Material_Type_2
MAT000213,Material_Type_2
MAT000214,Material_Type_2
MAT000215,Material_Type_2
MAT000216,Material_Type_1
MAT000217,Material_Type_2
MAT000218,Material_Type_1
MAT000219,Material_Type_1
MAT000220,Material_Type_1
MAT000221,Material_Type_1
MAT000222,Material_Type_2
MAT000223,Material_Type_1
MAT000224,Material_Type_1
MAT000225,Material_Type_2
MAT000226,Material_Type_2
MAT000227,Material_Type_2
MAT000228,Material_Type_2
MAT000229,Material_Type_1
MAT000230,Material_Type_2
MAT000231,Material_Type_1
MAT000232,Material_Type_2
MAT000233,Material_Type_2
MAT000234,Material_Type_2
MAT000235,Material_Type_1
MAT000236,Material_Type_2
MAT000237,Material_Type_2
MAT000238,Material_Type_2
MAT000239,Material_Type_1
MAT000240,Material_Type_2
MAT000241,Material_Type_1
MAT000242,Material_Type_1
MAT000243,Material_Type_1
MAT000244,Material_Type_1
MAT000245,Material_Type_2
MAT000246,Material_Type_2
MAT000247,Material_Type_1
MAT000248,Material_Type_1
MAT000249,Material_Type_1
MAT000250,Material_Type_1
MAT000251,Material_Type_2
MAT000252,Material_Type_2
MAT000253,Material_Type_1
MAT000254,Material_Type_1
MAT000255,Material_Type_2
MAT000256,Material_Type_2
MAT000257,Material_Type_2
MAT000258,Material_Type_2
MAT000259,Material_Type_2
MAT000260,Material_Type_2
MAT000261,Material_Type_1
MAT000262,Material_Type_2
MAT000263,Material_Type_1
MAT000264,Material_Type_1
MAT000265,Material_Type_2
MAT000266,Material_Type_2
MAT000267,Material_Type_2
MAT000268,Material_Type_2
MAT000269,Material_Type_2
MAT000270,Material_Type_2
MAT000271,Material_Type_1
MAT000272,Material_Type_1
MAT000273,Material_Type_1
MAT000274,Material_Type_1
MAT000275,Material_Type_2
MAT000276,Material_Type_2
MAT000277,Material_Type_1
MAT000278,Material_Type_2
MAT000279,Material_Type_2
MAT000280,Material_Type_2
MAT000281,Material_Type_1
MAT000282,Material_Type_1
MAT000283,Material_Type_2
MAT000284,Material_Type_1
MAT000285,Material_Type_1
MAT000286,Material_Type_2
MAT000287,Material_Type_2
MAT000288,Material_Type_1
MAT000289,Material_Type_2
MAT000290,Material_Type_1
MAT000291,Material_Type_2
MAT000292,Material_Type_2
MAT000293,Material_Type_2
MAT000294,Material_Type_2
MAT000295,Material_Type_2
MAT000296,Material_Type_1
MAT000297,Material_Type_2
MAT000298,Material_Type_2
MAT000299,Material_Type_2
MAT000300,Material_Type_2
MAT000301,Material_Type_2
MAT000302,Material_Type_1
MAT000303,Material_Type_2
MAT000304,Material_Type_2
MAT000305,Material_Type_2
MAT000306,Material_Type_1
MAT000307,Material_Type_1
MAT000308,Material_Type_1
MAT000309,Material_Type_2
MAT000310,Material_Type_1
MAT000311,Material_Type_1
MAT000312,Material_Type_1
MAT000313,Material_Type_2
MAT000314,Material_Type_2
MAT000315,Material_Type_1
MAT000316,Material_Type_2
MAT000317,Material_Type_2
MAT000318,Material_Type_2
MAT000319,Material_Type_2
MAT000320,Material_Type_2
MAT000321,Material_Type_2
MAT000322,Material_Type_1
MAT000323,Material_Type_2
MAT000324,Material_Type_2
MAT000325,Material_Type_2
MAT000326,Material_Type_2
MAT000327,Material_Type_2
MAT000328,Material_Type_1
MAT000329,Material_Type_2
MAT000330,Material_Type_2
MAT000331,Material_Type_1
MAT000332,Material_Type_2
MAT000333,Material_Type_2
MAT000334,Material_Type_2
MAT000335,Material_Type_1
MAT000336,Material_Type_2
MAT000337,Material_Type_1
MAT000338,Material_Type_2
MAT000339,Material_Type_2
MAT000340,Material_Type_2
MAT000341,Material_Type_2
MAT000342,Material_Type_2
MAT000343,Material_Type_2
MAT000344,Material_Type_1
MAT000345,Material_Type_2
MAT000346,Material_Type_1
MAT000347,Material_Type_1
MAT000348,Material_Type_1
MAT000349,Material_Type_2
MAT000350,Material_Type_1
MAT000351,Material_Type_1
MAT000352,Material_Type_2
MAT000353,Material_Type_2
MAT000354,Material_Type_1
MAT000355,Material_Type_2
MAT000356,Material_Type_1
MAT000357,Material_Type_1
MAT000358,Material_Type_1
MAT000359,Material_Type_1
MAT000360,Material_Type_1
MAT000361,Material_Type_1
MAT000362,Material_Type_1
MAT000363,Material_Type_1
MAT000364,Material_Type_2
MAT000365,Material_Type_2
MAT000366,Material_Type_1
MAT000367,Material_Type_2
MAT000368,Material_Type_1
MAT000369,Material_Type_1
MAT000370,Material_Type_2
MAT000371,Material_Type_2
MAT000372,Material_Type_2
MAT000373,Material_Type_1
MAT000374,Material_Type_2
MAT000375,Material_Type_2
MAT000376,Material_Type_2
MAT000377,Material_Type_1
MAT000378,Material_Type_2
MAT000379,Material_Type_1
MAT000380,Material_Type_2
MAT000381,Material_Type_2
MAT000382,Material_Type_2
