customer,sales_qty_2021,sales_qty_2022,sales_qty_2023,sales_qty_2024,net_sales_2021,net_sales_2022,net_sales_2023,net_sales_2024,p2_2021,p2_2022,p2_2023,p2_2024,qty_2021_score,qty_2022_score,qty_2023_score,qty_2024_score,sales_2021_score,sales_2022_score,sales_2023_score,sales_2024_score,p2_2021_score,p2_2022_score,p2_2023_score,p2_2024_score,qty_2021_score_desc,qty_2022_score_desc,qty_2023_score_desc,qty_2024_score_desc,sales_2021_score_desc,sales_2022_score_desc,sales_2023_score_desc,sales_2024_score_desc,p2_2021_score_desc,p2_2022_score_desc,p2_2023_score_desc,p2_2024_score_desc,material_portfolio,material_portfolio_desc,brand_portfolio,brand_portfolio_desc,product_type_portfolio,product_type_portfolio_desc,material_portfolio_score,brand_portfolio_score,product_type_portfolio_score,material_portfolio_score_desc,brand_portfolio_score_desc,product_type_portfolio_score_desc,feature_tag_null,feature_tag_q1,feature_tag_q2,feature_tag_q3,feature_tag_q4,feature_tag_null_score,feature_tag_q1_score,feature_tag_q2_score,feature_tag_q3_score,feature_tag_q4_score,relationship_score,market_position_score,market_position_desc_new,relationship_desc_new
Customer_1005,28682071,32079526,31453752,26429101,1695875659.11,1833924101.07,1900421629.96,1595169213.83,946272932.73,884721289.61,1072849743.6,712335737.89,3,4,4,2,3.0,4.0,4.0,2.0,4.0,3.0,5.0,1.0,Medium,High,High,Low,Medium,High,High,Low,High,Medium,Strategic,Neglectable,4,"MAT000810, MAT002520, MAT000318, MAT000834",4,"Brand_2805, Brand_5892, Brand_3658, Brand_5729",4,"Product_Type_1283, Product_Type_317, Product_Type_339, Product_Type_552",2,2,2,several,several,several,40,13,16,10,15,1,3,1,2,1,5.0,1.0,Niche Player,Partnership
Customer_1011,26662722,26804515,28793437,24591574,1362150836.7,1531980704.47,1890697295.55,1581386534.05,574057578.55,780537476.45,1046884116.59,747668033.24,2,2,3,1,1.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,Low,Low,Medium,Neglectable,Neglectable,Low,High,Low,Neglectable,Low,High,Low,4,"MAT000256, MAT000812, MAT001174, MAT000449",4,"Brand_396, Brand_6463, Brand_707, Brand_1399",4,"Product_Type_676, Product_Type_1252, Product_Type_201, Product_Type_416",2,2,2,several,several,several,46,13,16,12,9,2,3,1,3,1,3.0,2.0,Market Follower,Pure Business
Customer_1023,18573979,25156206,26389512,29153877,1089887920.5,1478579332.47,1669235762.7,1651936353.25,505139348.26,840422634.32,613770999.87,806919875.77,1,2,2,3,1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,Neglectable,Low,Low,Medium,Neglectable,Low,Medium,Low,Neglectable,Medium,Neglectable,Low,4,"MAT001921, MAT002068, MAT002926, MAT001675",4,"Brand_7539, Brand_7706, Brand_2936, Brand_5802",4,"Product_Type_649, Product_Type_776, Product_Type_565, Product_Type_882",2,2,2,several,several,several,45,17,10,9,8,2,1,2,1,1,3.0,1.0,Niche Player,Pure Business
Customer_1039,23730691,17299745,23128555,28482803,1378850183.44,1054375128.18,1402159401.69,1778834977.06,641420215.46,615226151.74,733238620.55,835708756.17,1,1,1,3,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,Neglectable,Neglectable,Neglectable,Medium,Neglectable,Neglectable,Neglectable,Medium,Neglectable,Neglectable,Low,Medium,4,"MAT002477, MAT000505, MAT002888, MAT002735",4,"Brand_5868, Brand_4899, Brand_3339, Brand_6102",4,"Product_Type_221, Product_Type_209, Product_Type_1029, Product_Type_1364",2,2,2,several,several,several,42,9,10,11,14,1,1,2,2,1,3.0,2.0,Market Follower,Pure Business
Customer_1048,28512878,31861407,30515912,27504491,1537996500.47,2021721917.39,1648342664.43,1487039504.23,866140461.24,1067772770.03,994044067.45,760169759.04,3,4,4,2,2.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,Medium,High,High,Low,Low,High,Low,Low,Medium,Strategic,High,Low,4,"MAT001105, MAT000698, MAT002385, MAT000231",4,"Brand_111, Brand_2095, Brand_2236, Brand_6959",4,"Product_Type_403, Product_Type_728, Product_Type_565, Product_Type_128",2,2,2,several,several,several,53,13,13,11,16,4,3,1,2,1,5.0,5.0,Innovative & Faster Growing than Market,Partnership
Customer_1056,34260176,36147771,32621948,29700920,1895502493.86,2269572292.73,2016495871.16,1757425247.6,826368412.76,1223008908.32,896919166.95,869932073.12,5,5,4,3,4.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,Strategic,Strategic,High,Medium,High,Strategic,High,Medium,Medium,Strategic,Medium,Medium,4,"MAT002760, MAT001573, MAT000761, MAT001303",4,"Brand_4902, Brand_2236, Brand_7647, Brand_2659",4,"Product_Type_704, Product_Type_1413, Product_Type_408, Product_Type_255",2,2,2,several,several,several,51,14,23,10,18,3,1,1,2,1,2.0,2.0,Market Follower,Transactional
Customer_1061,23981461,23860889,26193804,27501127,1377431302.71,1305201480.76,1585879729.93,1525883535.22,660561363.88,760898291.15,825301462.84,765389401.77,1,1,2,2,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,Neglectable,Neglectable,Low,Low,Neglectable,Neglectable,Low,Low,Neglectable,Low,Medium,Low,4,"MAT001704, MAT002502, MAT000225, MAT001897",4,"Brand_5080, Brand_161, Brand_6187, Brand_404",4,"Product_Type_820, Product_Type_1397, Product_Type_497, Product_Type_1100",2,2,2,several,several,several,44,9,12,10,18,2,1,1,2,1,2.0,2.0,Market Follower,Transactional
Customer_1063,35413455,33159434,25002632,24680809,2235900164.38,2135304368.39,1587388000.98,1390565610.32,1160266175.83,985579810.02,840590036.26,808204421.91,5,4,1,1,5.0,5.0,2.0,1.0,5.0,4.0,3.0,2.0,Strategic,High,Neglectable,Neglectable,Strategic,Strategic,Low,Neglectable,Strategic,High,Medium,Low,4,"MAT000879, MAT002940, MAT000271, MAT001858",4,"Brand_7717, Brand_2741, Brand_3296, Brand_1953",4,"Product_Type_699, Product_Type_663, Product_Type_799, Product_Type_1066",2,2,2,several,several,several,55,14,11,11,15,4,1,2,2,1,4.0,5.0,Innovative & Faster Growing than Market,Advanced Business Ties
Customer_1067,34642306,25379916,28431824,24797513,2191834061.78,1777717716.15,1827013941.77,1499189825.94,1168759697.64,1042841812.13,965639135.43,718715172.08,5,2,3,1,5.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,Strategic,Low,Medium,Neglectable,Strategic,Medium,High,Low,Strategic,High,High,Low,4,"MAT002142, MAT001561, MAT001807, MAT002191",4,"Brand_6507, Brand_4867, Brand_5335, Brand_3790",4,"Product_Type_390, Product_Type_627, Product_Type_679, Product_Type_783",2,2,2,several,several,several,53,12,11,13,9,4,3,2,3,1,2.0,5.0,Innovative & Faster Growing than Market,Transactional
Customer_1079,25121438,28224278,34104083,31109882,1446466872.83,1589000433.43,2036032427.79,1962893893.41,780367551.73,666351843.77,1072566168.75,1186175282.5,1,3,5,4,1.0,2.0,4.0,4.0,2.0,1.0,5.0,5.0,Neglectable,Medium,Strategic,High,Neglectable,Low,High,High,Low,Neglectable,Strategic,Strategic,4,"MAT000988, MAT001890, MAT000763, MAT001047",4,"Brand_2369, Brand_1552, Brand_1300, Brand_2351",4,"Product_Type_1412, Product_Type_493, Product_Type_15, Product_Type_253",2,2,2,several,several,several,50,16,9,11,13,3,1,1,2,1,4.0,3.0,Faster Growing than Market,Advanced Business Ties
