MATERIAL,BRAND,SUB_BRAND
MAT000001,Brand_5912,Sub_Brand_119
MAT000002,Brand_6081,Sub_Brand_93
MAT000003,Brand_3478,Sub_Brand_107
MAT000004,Brand_1135,Sub_Brand_133
MAT000005,Brand_3314,Sub_Brand_132
MAT000006,Brand_6434,Sub_Brand_63
MAT000007,Brand_7509,Sub_Brand_94
MAT000008,Brand_2577,Sub_Brand_59
MAT000009,Brand_5595,Sub_Brand_33
MAT000010,Brand_3646,Sub_Brand_130
MAT000011,Brand_6809,Sub_Brand_120
MAT000012,Brand_1297,Sub_Brand_122
MAT000013,Brand_1846,Sub_Brand_51
MAT000014,Brand_2315,Sub_Brand_23
MAT000015,Brand_1359,Sub_Brand_34
MAT000016,Brand_1791,Sub_Brand_12
MAT000017,Brand_3526,Sub_Brand_126
MAT000018,Brand_6227,Sub_Brand_6
MAT000019,Brand_2610,Sub_Brand_20
MAT000020,Brand_4362,Sub_Brand_47
MAT000021,Brand_5797,Sub_Brand_77
MAT000022,Brand_6027,Sub_Brand_7
MAT000023,Brand_6457,Sub_Brand_69
MAT000024,Brand_5699,Sub_Brand_1
MAT000025,Brand_556,Sub_Brand_83
MAT000026,Brand_2,Sub_Brand_11
MAT000027,Brand_324,Sub_Brand_33
MAT000028,Brand_1027,Sub_Brand_53
MAT000029,Brand_3862,Sub_Brand_18
MAT000030,Brand_956,Sub_Brand_44
MAT000031,Brand_5603,Sub_Brand_134
MAT000032,Brand_1597,Sub_Brand_97
MAT000033,Brand_3394,Sub_Brand_8
MAT000034,Brand_3585,Sub_Brand_3
MAT000035,Brand_7756,Sub_Brand_11
MAT000036,Brand_6441,Sub_Brand_109
MAT000037,Brand_6799,Sub_Brand_15
MAT000038,Brand_6481,Sub_Brand_84
MAT000039,Brand_3241,Sub_Brand_76
MAT000040,Brand_6157,Sub_Brand_42
MAT000041,Brand_5581,Sub_Brand_26
MAT000042,Brand_1129,Sub_Brand_113
MAT000043,Brand_2172,Sub_Brand_27
MAT000044,Brand_1667,Sub_Brand_115
MAT000045,Brand_7148,Sub_Brand_65
MAT000046,Brand_2960,Sub_Brand_104
MAT000047,Brand_985,Sub_Brand_49
MAT000048,Brand_6189,Sub_Brand_63
MAT000049,Brand_52,Sub_Brand_40
MAT000050,Brand_4072,Sub_Brand_104
MAT000051,Brand_4925,Sub_Brand_103
MAT000052,Brand_7866,Sub_Brand_8
MAT000053,Brand_4761,Sub_Brand_13
MAT000054,Brand_2789,Sub_Brand_57
MAT000055,Brand_817,Sub_Brand_30
MAT000056,Brand_4961,Sub_Brand_64
MAT000057,Brand_367,Sub_Brand_80
MAT000058,Brand_7034,Sub_Brand_110
MAT000059,Brand_202,Sub_Brand_73
MAT000060,Brand_483,Sub_Brand_14
MAT000061,Brand_1501,Sub_Brand_70
MAT000062,Brand_3329,Sub_Brand_104
MAT000063,Brand_4864,Sub_Brand_149
MAT000064,Brand_6398,Sub_Brand_54
MAT000065,Brand_328,Sub_Brand_57
MAT000066,Brand_706,Sub_Brand_101
MAT000067,Brand_5060,Sub_Brand_141
MAT000068,Brand_4099,Sub_Brand_38
MAT000069,Brand_4370,Sub_Brand_73
MAT000070,Brand_3905,Sub_Brand_129
MAT000071,Brand_3413,Sub_Brand_6
MAT000072,Brand_5612,Sub_Brand_125
MAT000073,Brand_4754,Sub_Brand_100
MAT000074,Brand_1846,Sub_Brand_66
MAT000075,Brand_6205,Sub_Brand_87
MAT000076,Brand_2771,Sub_Brand_78
MAT000077,Brand_7229,Sub_Brand_115
MAT000078,Brand_6057,Sub_Brand_18
MAT000079,Brand_355,Sub_Brand_138
MAT000080,Brand_6040,Sub_Brand_56
MAT000081,Brand_376,Sub_Brand_109
MAT000082,Brand_2679,Sub_Brand_144
MAT000083,Brand_1842,Sub_Brand_101
MAT000084,Brand_4532,Sub_Brand_87
MAT000085,Brand_128,Sub_Brand_125
MAT000086,Brand_1768,Sub_Brand_84
MAT000087,Brand_6193,Sub_Brand_19
MAT000088,Brand_6395,Sub_Brand_69
MAT000089,Brand_2694,Sub_Brand_63
MAT000090,Brand_1398,Sub_Brand_42
MAT000091,Brand_3729,Sub_Brand_14
MAT000092,Brand_1893,Sub_Brand_48
MAT000093,Brand_6858,Sub_Brand_84
MAT000094,Brand_6294,Sub_Brand_90
MAT000095,Brand_1980,Sub_Brand_62
MAT000096,Brand_2026,Sub_Brand_7
MAT000097,Brand_7082,Sub_Brand_87
MAT000098,Brand_7410,Sub_Brand_30
MAT000099,Brand_5502,Sub_Brand_148
MAT000100,Brand_1251,Sub_Brand_69
MAT000101,Brand_6416,Sub_Brand_135
MAT000102,Brand_5620,Sub_Brand_148
MAT000103,Brand_2710,Sub_Brand_12
MAT000104,Brand_2963,Sub_Brand_94
MAT000105,Brand_5410,Sub_Brand_107
MAT000106,Brand_1479,Sub_Brand_137
MAT000107,Brand_710,Sub_Brand_8
MAT000108,Brand_1175,Sub_Brand_19
MAT000109,Brand_3626,Sub_Brand_8
MAT000110,Brand_571,Sub_Brand_2
MAT000111,Brand_2696,Sub_Brand_61
MAT000112,Brand_3806,Sub_Brand_108
MAT000113,Brand_6585,Sub_Brand_100
MAT000114,Brand_1796,Sub_Brand_57
MAT000115,Brand_5046,Sub_Brand_92
MAT000116,Brand_4445,Sub_Brand_102
MAT000117,Brand_6894,Sub_Brand_137
MAT000118,Brand_5199,Sub_Brand_136
MAT000119,Brand_6207,Sub_Brand_29
MAT000120,Brand_7748,Sub_Brand_36
MAT000121,Brand_100,Sub_Brand_43
MAT000122,Brand_4993,Sub_Brand_8
MAT000123,Brand_3599,Sub_Brand_55
MAT000124,Brand_7440,Sub_Brand_94
MAT000125,Brand_4149,Sub_Brand_147
MAT000126,Brand_4723,Sub_Brand_43
MAT000127,Brand_3561,Sub_Brand_28
MAT000128,Brand_1900,Sub_Brand_111
MAT000129,Brand_5915,Sub_Brand_59
MAT000130,Brand_2948,Sub_Brand_98
MAT000131,Brand_5359,Sub_Brand_32
MAT000132,Brand_484,Sub_Brand_144
MAT000133,Brand_5821,Sub_Brand_119
MAT000134,Brand_2906,Sub_Brand_34
MAT000135,Brand_4556,Sub_Brand_5
MAT000136,Brand_3124,Sub_Brand_38
MAT000137,Brand_2408,Sub_Brand_120
MAT000138,Brand_5846,Sub_Brand_97
MAT000139,Brand_103,Sub_Brand_56
MAT000140,Brand_6419,Sub_Brand_9
MAT000141,Brand_7266,Sub_Brand_47
MAT000142,Brand_4494,Sub_Brand_82
MAT000143,Brand_4012,Sub_Brand_106
MAT000144,Brand_1432,Sub_Brand_58
MAT000145,Brand_7536,Sub_Brand_146
MAT000146,Brand_7131,Sub_Brand_24
MAT000147,Brand_4363,Sub_Brand_24
MAT000148,Brand_5121,Sub_Brand_22
MAT000149,Brand_3200,Sub_Brand_98
MAT000150,Brand_5930,Sub_Brand_84
MAT000151,Brand_6364,Sub_Brand_66
MAT000152,Brand_743,Sub_Brand_106
MAT000153,Brand_976,Sub_Brand_76
MAT000154,Brand_6734,Sub_Brand_4
MAT000155,Brand_5710,Sub_Brand_24
MAT000156,Brand_6613,Sub_Brand_30
MAT000157,Brand_7967,Sub_Brand_90
MAT000158,Brand_879,Sub_Brand_96
MAT000159,Brand_4848,Sub_Brand_135
MAT000160,Brand_3280,Sub_Brand_61
MAT000161,Brand_5383,Sub_Brand_36
MAT000162,Brand_7638,Sub_Brand_100
MAT000163,Brand_665,Sub_Brand_67
MAT000164,Brand_171,Sub_Brand_117
MAT000165,Brand_6280,Sub_Brand_82
MAT000166,Brand_6617,Sub_Brand_146
MAT000167,Brand_7671,Sub_Brand_50
MAT000168,Brand_920,Sub_Brand_29
