SoldTo,Country,Ship to Customer
Customer_10,Country_14,ShipToCustomer_4313
Customer_10,Country_14,ShipToCustomer_7941
Customer_100,Country_3,ShipToCustomer_6894
Customer_100,Country_3,ShipToCustomer_8116
Customer_1000,Country_12,ShipToCustomer_4899
Customer_1000,Country_12,ShipToCustomer_8150
Customer_1001,Country_9,ShipToCustomer_1118
Customer_1001,Country_9,ShipToCustomer_7036
Customer_1001,Country_9,ShipToCustomer_7427
Customer_1001,Country_9,ShipToCustomer_8402
Customer_1002,Country_10,ShipToCustomer_6275
Customer_1004,Country_4,ShipToCustomer_5015
Customer_1005,Country_12,ShipToCustomer_28
Customer_1005,Country_12,ShipToCustomer_8040
Customer_1006,Country_3,ShipToCustomer_1368
Customer_1006,Country_3,ShipToCustomer_6362
Customer_1007,Country_7,ShipToCustomer_1750
Customer_1008,Country_2,ShipToCustomer_2919
Customer_1009,Country_1,ShipToCustomer_2316
Customer_1009,Country_1,ShipToCustomer_3601
Customer_1009,Country_1,ShipToCustomer_4479
Customer_101,Country_2,ShipToCustomer_2669
Customer_1011,Country_2,ShipToCustomer_349
Customer_1011,Country_2,ShipToCustomer_5011
Customer_1011,Country_2,ShipToCustomer_5575
Customer_1012,Country_10,ShipToCustomer_3847
Customer_1012,Country_10,ShipToCustomer_9770
Customer_1013,Country_4,ShipToCustomer_4404
Customer_1014,Country_6,ShipToCustomer_2097
Customer_1014,Country_6,ShipToCustomer_5596
Customer_1015,Country_14,ShipToCustomer_5280
Customer_1016,Country_15,ShipToCustomer_5426
Customer_1017,Country_10,ShipToCustomer_2903
Customer_1017,Country_10,ShipToCustomer_7901
Customer_1017,Country_10,ShipToCustomer_8445
Customer_1019,Country_13,ShipToCustomer_4291
Customer_1019,Country_13,ShipToCustomer_6019
Customer_1021,Country_13,ShipToCustomer_3976
Customer_1021,Country_13,ShipToCustomer_8331
Customer_1022,Country_5,ShipToCustomer_9035
Customer_1023,Country_4,ShipToCustomer_1655
Customer_1023,Country_4,ShipToCustomer_788
Customer_1024,Country_14,ShipToCustomer_9971
Customer_1025,Country_13,ShipToCustomer_2474
Customer_1025,Country_13,ShipToCustomer_5647
Customer_1027,Country_3,ShipToCustomer_2383
Customer_1028,Country_14,ShipToCustomer_2128
Customer_1028,Country_14,ShipToCustomer_6049
Customer_1028,Country_14,ShipToCustomer_9663
Customer_1030,Country_12,ShipToCustomer_1011
Customer_1030,Country_12,ShipToCustomer_1502
Customer_1030,Country_12,ShipToCustomer_5774
Customer_1030,Country_12,ShipToCustomer_6541
Customer_1030,Country_12,ShipToCustomer_8701
Customer_1031,Country_9,ShipToCustomer_9814
Customer_1033,Country_3,ShipToCustomer_5215
Customer_1033,Country_3,ShipToCustomer_9726
Customer_1035,Country_7,ShipToCustomer_4837
Customer_1036,Country_8,ShipToCustomer_3473
Customer_1036,Country_8,ShipToCustomer_6056
Customer_1038,Country_14,ShipToCustomer_3571
Customer_1039,Country_10,ShipToCustomer_152
Customer_1039,Country_10,ShipToCustomer_6816
Customer_104,Country_4,ShipToCustomer_2679
Customer_1041,Country_10,ShipToCustomer_1726
Customer_1041,Country_10,ShipToCustomer_1902
Customer_1041,Country_10,ShipToCustomer_4808
Customer_1043,Country_13,ShipToCustomer_7269
Customer_1043,Country_13,ShipToCustomer_7719
Customer_1045,Country_12,ShipToCustomer_3100
Customer_1046,Country_3,ShipToCustomer_5209
Customer_1047,Country_5,ShipToCustomer_7814
Customer_1048,Country_3,ShipToCustomer_187
Customer_1049,Country_9,ShipToCustomer_5916
Customer_1049,Country_9,ShipToCustomer_8902
Customer_105,Country_5,ShipToCustomer_3951
Customer_105,Country_5,ShipToCustomer_3953
Customer_1050,Country_4,ShipToCustomer_2561
Customer_1050,Country_4,ShipToCustomer_5417
Customer_1055,Country_11,ShipToCustomer_1821
Customer_1055,Country_11,ShipToCustomer_2954
