SoldTo,Customer_Value1
Customer_10,Innovative
Customer_10,Niche Player
Customer_100,Faster Growing than Market
Customer_100,Niche Player
Customer_1000,Innovative
Customer_1000,Niche Player
Customer_1001,Faster Growing than Market
Customer_1001,Innovative
Customer_1001,Niche Player
Customer_1002,Innovative & Faster Growing than Market
Customer_1004,Market Follower
Customer_1005,Innovative & Faster Growing than Market
Customer_1005,Niche Player
Customer_1006,Innovative & Faster Growing than Market
Customer_1006,Niche Player
Customer_1007,Niche Player
Customer_1008,Innovative & Faster Growing than Market
Customer_1009,Faster Growing than Market
Customer_1009,Innovative
Customer_1009,Innovative & Faster Growing than Market
Customer_101,Innovative & Faster Growing than Market
Customer_1011,Faster Growing than Market
Customer_1011,Market Follower
Customer_1012,Faster Growing than Market
Customer_1012,Innovative
Customer_1013,Innovative
Customer_1014,Innovative & Faster Growing than Market
Customer_1014,Market Follower
Customer_1015,Market Follower
Customer_1016,Market Follower
Customer_1017,Faster Growing than Market
Customer_1017,Innovative & Faster Growing than Market
Customer_1017,Niche Player
Customer_1019,Innovative
Customer_1019,Niche Player
Customer_1021,Faster Growing than Market
Customer_1021,Innovative & Faster Growing than Market
Customer_1022,Innovative & Faster Growing than Market
Customer_1023,Niche Player
Customer_1024,Innovative
Customer_1025,Innovative & Faster Growing than Market
Customer_1025,Niche Player
Customer_1027,Innovative & Faster Growing than Market
Customer_1028,Innovative & Faster Growing than Market
Customer_1028,Niche Player
Customer_1030,Innovative
Customer_1030,Innovative & Faster Growing than Market
Customer_1030,Niche Player
Customer_1031,Innovative
Customer_1033,Market Follower
Customer_1033,Niche Player
Customer_1035,Innovative
Customer_1036,Faster Growing than Market
Customer_1036,Innovative & Faster Growing than Market
Customer_1038,Faster Growing than Market
Customer_1039,Faster Growing than Market
Customer_1039,Niche Player
Customer_104,Innovative & Faster Growing than Market
Customer_1041,Innovative
Customer_1041,Innovative & Faster Growing than Market
Customer_1041,Niche Player
Customer_1043,Faster Growing than Market
Customer_1043,Market Follower
Customer_1045,Innovative & Faster Growing than Market
Customer_1046,Market Follower
Customer_1047,Niche Player
Customer_1048,Innovative & Faster Growing than Market
Customer_1049,Market Follower
Customer_1049,Niche Player
Customer_105,Faster Growing than Market
Customer_1050,Innovative & Faster Growing than Market
Customer_1050,Market Follower
Customer_1055,Innovative & Faster Growing than Market
Customer_1056,Innovative
Customer_1056,Market Follower
Customer_1057,Innovative & Faster Growing than Market
Customer_1058,Innovative & Faster Growing than Market
Customer_106,Niche Player
Customer_1060,Faster Growing than Market
Customer_1061,Innovative
Customer_1061,Niche Player
Customer_1063,Innovative & Faster Growing than Market
Customer_1064,Market Follower
Customer_1064,Niche Player
Customer_1065,Niche Player
Customer_1067,Innovative & Faster Growing than Market
Customer_1068,Faster Growing than Market
Customer_1068,Niche Player
Customer_107,Innovative
Customer_107,Market Follower
Customer_1071,Innovative
Customer_1071,Niche Player
Customer_1074,Innovative & Faster Growing than Market
Customer_1074,Niche Player
Customer_1075,Niche Player
Customer_1077,Market Follower
Customer_1078,Innovative
Customer_1079,Innovative
Customer_1079,Innovative & Faster Growing than Market
Customer_108,Market Follower
Customer_1081,Innovative
Customer_1081,Innovative & Faster Growing than Market
Customer_1082,Niche Player
Customer_1083,Faster Growing than Market
Customer_1083,Innovative
Customer_1083,Innovative & Faster Growing than Market
Customer_1083,Market Follower
Customer_1084,Faster Growing than Market
Customer_1084,Innovative
Customer_1084,Innovative & Faster Growing than Market
Customer_1085,Market Follower
Customer_1087,Innovative & Faster Growing than Market
Customer_109,Innovative
Customer_1091,Innovative
Customer_1093,Innovative
Customer_1093,Market Follower
Customer_1093,Niche Player
Customer_1096,Market Follower
Customer_1096,Niche Player
Customer_1097,Faster Growing than Market
Customer_1098,Innovative & Faster Growing than Market
Customer_1098,Market Follower
Customer_1099,Faster Growing than Market
Customer_110,Innovative
Customer_1100,Faster Growing than Market
Customer_1100,Innovative & Faster Growing than Market
Customer_1100,Niche Player
Customer_1101,Innovative
Customer_1102,Innovative & Faster Growing than Market
Customer_1103,Innovative
Customer_1104,Innovative
Customer_1105,Innovative
Customer_1105,Niche Player
Customer_1106,Innovative & Faster Growing than Market
Customer_1106,Niche Player
Customer_1108,Innovative & Faster Growing than Market
Customer_111,Faster Growing than Market
Customer_1110,Faster Growing than Market
Customer_1112,Faster Growing than Market
Customer_1113,Innovative
Customer_1113,Niche Player
Customer_1114,Innovative & Faster Growing than Market
Customer_1115,Innovative & Faster Growing than Market
Customer_1116,Market Follower
Customer_1117,Faster Growing than Market
Customer_1118,Innovative
Customer_1120,Innovative & Faster Growing than Market
Customer_1121,Innovative
Customer_1121,Innovative & Faster Growing than Market
Customer_1121,Market Follower
Customer_1125,Innovative & Faster Growing than Market
Customer_1125,Niche Player
Customer_113,Innovative
Customer_1131,Innovative & Faster Growing than Market
Customer_1132,Innovative
Customer_1132,Innovative & Faster Growing than Market
Customer_1132,Market Follower
Customer_1133,Faster Growing than Market
Customer_1134,Niche Player
Customer_1136,Faster Growing than Market
Customer_1136,Market Follower
Customer_1136,Niche Player
Customer_1138,Market Follower
Customer_1139,Faster Growing than Market
Customer_1139,Innovative & Faster Growing than Market
Customer_114,Market Follower
Customer_1140,Faster Growing than Market
Customer_1141,Innovative & Faster Growing than Market
Customer_1142,Faster Growing than Market
Customer_1142,Innovative
Customer_1142,Market Follower
Customer_1144,Faster Growing than Market
Customer_1144,Innovative
Customer_1144,Market Follower
Customer_1145,Faster Growing than Market
Customer_1145,Innovative & Faster Growing than Market
Customer_1146,Innovative & Faster Growing than Market
Customer_1146,Niche Player
Customer_1148,Faster Growing than Market
Customer_1148,Innovative
Customer_1149,Innovative & Faster Growing than Market
Customer_115,Faster Growing than Market
Customer_1150,Market Follower
Customer_1151,Faster Growing than Market
Customer_1151,Innovative & Faster Growing than Market
Customer_1152,Innovative & Faster Growing than Market
Customer_1154,Niche Player
Customer_1156,Innovative & Faster Growing than Market
Customer_1157,Innovative & Faster Growing than Market
Customer_1157,Market Follower
Customer_1158,Faster Growing than Market
Customer_1158,Innovative
Customer_116,Faster Growing than Market
Customer_1160,Market Follower
Customer_1160,Niche Player
Customer_1161,Faster Growing than Market
Customer_1161,Innovative
Customer_1162,Innovative & Faster Growing than Market
Customer_1162,Niche Player
Customer_1164,Innovative & Faster Growing than Market
Customer_1164,Niche Player
Customer_1165,Niche Player
Customer_1166,Faster Growing than Market
Customer_1166,Niche Player
Customer_1167,Market Follower
Customer_1168,Niche Player
Customer_1169,Innovative & Faster Growing than Market
Customer_117,Innovative & Faster Growing than Market
Customer_117,Niche Player
Customer_1170,Innovative & Faster Growing than Market
Customer_1171,Innovative
Customer_1174,Faster Growing than Market
Customer_1174,Innovative
Customer_1176,Faster Growing than Market
Customer_1177,Innovative & Faster Growing than Market
Customer_1179,Innovative
Customer_1179,Innovative & Faster Growing than Market
Customer_1180,Innovative
Customer_1180,Niche Player
Customer_1181,Niche Player
Customer_1182,Faster Growing than Market
Customer_1182,Niche Player
Customer_1183,Innovative
Customer_1183,Innovative & Faster Growing than Market
Customer_1184,Market Follower
Customer_1185,Faster Growing than Market
Customer_1186,Market Follower
Customer_1189,Innovative
Customer_1189,Innovative & Faster Growing than Market
Customer_119,Niche Player
Customer_1191,Faster Growing than Market
Customer_1194,Innovative & Faster Growing than Market
Customer_1196,Innovative & Faster Growing than Market
Customer_1197,Faster Growing than Market
Customer_1197,Market Follower
Customer_1197,Niche Player
Customer_1198,Faster Growing than Market
Customer_1198,Innovative
Customer_1198,Market Follower
Customer_1199,Faster Growing than Market
Customer_1199,Niche Player
Customer_12,Market Follower
Customer_1200,Faster Growing than Market
Customer_1200,Niche Player
Customer_1201,Faster Growing than Market
Customer_1201,Innovative
Customer_1201,Innovative & Faster Growing than Market
Customer_1202,Faster Growing than Market
Customer_1203,Innovative
Customer_1205,Market Follower
Customer_1207,Faster Growing than Market
Customer_1207,Innovative
Customer_1208,Faster Growing than Market
Customer_1208,Market Follower
Customer_1209,Innovative & Faster Growing than Market
Customer_1209,Niche Player
Customer_1210,Niche Player
Customer_1211,Innovative & Faster Growing than Market
Customer_1212,Innovative & Faster Growing than Market
Customer_1213,Innovative & Faster Growing than Market
Customer_1214,Innovative
Customer_1214,Innovative & Faster Growing than Market
Customer_1214,Niche Player
Customer_1215,Innovative
Customer_1216,Market Follower
Customer_1216,Niche Player
Customer_1217,Innovative
Customer_1218,Innovative
Customer_1218,Niche Player
Customer_1219,Faster Growing than Market
Customer_1219,Innovative & Faster Growing than Market
Customer_1219,Niche Player
Customer_122,Innovative & Faster Growing than Market
Customer_1220,Faster Growing than Market
Customer_1220,Niche Player
Customer_1222,Faster Growing than Market
Customer_1222,Innovative & Faster Growing than Market
Customer_1222,Niche Player
Customer_1223,Innovative
Customer_1223,Innovative & Faster Growing than Market
Customer_1224,Faster Growing than Market
Customer_1225,Innovative
Customer_1225,Innovative & Faster Growing than Market
Customer_1227,Faster Growing than Market
Customer_1227,Market Follower
Customer_1228,Innovative & Faster Growing than Market
Customer_123,Faster Growing than Market
Customer_1230,Faster Growing than Market
Customer_1230,Innovative
Customer_1230,Market Follower
Customer_1231,Innovative & Faster Growing than Market
Customer_1234,Innovative
Customer_1237,Innovative & Faster Growing than Market
Customer_1238,Market Follower
Customer_1239,Faster Growing than Market
Customer_1239,Innovative
Customer_124,Faster Growing than Market
Customer_124,Innovative & Faster Growing than Market
Customer_124,Market Follower
Customer_1240,Innovative
Customer_1241,Innovative
Customer_1242,Market Follower
Customer_1244,Innovative & Faster Growing than Market
Customer_1245,Niche Player
Customer_125,Innovative
Customer_1250,Faster Growing than Market
Customer_1250,Innovative
Customer_1250,Niche Player
Customer_1252,Faster Growing than Market
Customer_1252,Innovative & Faster Growing than Market
Customer_1255,Faster Growing than Market
Customer_1256,Innovative
Customer_1256,Market Follower
Customer_1257,Faster Growing than Market
Customer_1257,Innovative & Faster Growing than Market
Customer_126,Innovative
Customer_126,Innovative & Faster Growing than Market
Customer_1260,Market Follower
Customer_1260,Niche Player
Customer_1262,Innovative
Customer_1263,Faster Growing than Market
Customer_1263,Innovative
Customer_1264,Faster Growing than Market
Customer_1264,Innovative
Customer_1265,Faster Growing than Market
Customer_1266,Innovative
Customer_1268,Innovative & Faster Growing than Market
Customer_1268,Market Follower
Customer_1269,Faster Growing than Market
Customer_1269,Niche Player
Customer_127,Innovative
Customer_127,Innovative & Faster Growing than Market
Customer_127,Market Follower
Customer_127,Niche Player
Customer_1270,Innovative
Customer_1271,Faster Growing than Market
Customer_1271,Innovative
Customer_1272,Innovative & Faster Growing than Market
Customer_1274,Faster Growing than Market
Customer_1274,Innovative & Faster Growing than Market
Customer_1276,Market Follower
Customer_1277,Niche Player
Customer_1278,Faster Growing than Market
Customer_1279,Faster Growing than Market
Customer_128,Innovative
Customer_128,Innovative & Faster Growing than Market
Customer_128,Niche Player
Customer_1281,Faster Growing than Market
Customer_1281,Innovative & Faster Growing than Market
Customer_1282,Niche Player
Customer_1283,Innovative
Customer_1284,Faster Growing than Market
Customer_1284,Innovative & Faster Growing than Market
Customer_1287,Market Follower
Customer_1287,Niche Player
Customer_1288,Faster Growing than Market
Customer_1288,Innovative
Customer_1288,Market Follower
Customer_1289,Faster Growing than Market
Customer_1291,Market Follower
Customer_1294,Innovative
Customer_1294,Niche Player
Customer_1295,Niche Player
Customer_1296,Innovative
Customer_1298,Innovative & Faster Growing than Market
Customer_1299,Innovative
Customer_1299,Innovative & Faster Growing than Market
Customer_1299,Niche Player
Customer_1300,Faster Growing than Market
Customer_1304,Innovative
Customer_1304,Niche Player
Customer_1305,Niche Player
Customer_1306,Faster Growing than Market
Customer_1306,Market Follower
Customer_1307,Faster Growing than Market
Customer_1308,Niche Player
Customer_131,Innovative & Faster Growing than Market
Customer_131,Market Follower
Customer_1310,Niche Player
Customer_1311,Innovative & Faster Growing than Market
Customer_1311,Niche Player
Customer_1312,Faster Growing than Market
Customer_1312,Niche Player
Customer_1313,Niche Player
Customer_1314,Innovative
Customer_1315,Innovative
Customer_1316,Niche Player
Customer_1317,Market Follower
Customer_1318,Niche Player
Customer_1320,Faster Growing than Market
Customer_1320,Innovative
Customer_1320,Innovative & Faster Growing than Market
Customer_1320,Niche Player
Customer_1322,Innovative & Faster Growing than Market
Customer_1323,Faster Growing than Market
Customer_1324,Faster Growing than Market
Customer_1326,Innovative
Customer_1326,Market Follower
Customer_1327,Innovative
Customer_1327,Niche Player
Customer_1329,Faster Growing than Market
Customer_133,Niche Player
Customer_1330,Innovative
Customer_1330,Innovative & Faster Growing than Market
Customer_1330,Niche Player
Customer_1332,Innovative
Customer_1333,Faster Growing than Market
Customer_1333,Innovative & Faster Growing than Market
Customer_1334,Market Follower
