SoldTo,Ship to Customer,Key_Account,Key_Account_Grouper
Customer_10,ShipToCustomer_4313,Key_Account_96,Region_21
Customer_10,ShipToCustomer_7941,Key_Account_96,Region_21
Customer_100,ShipToCustomer_6894,Key_Account_141,Region_2
Customer_100,ShipToCustomer_8116,Key_Account_141,Region_2
Customer_1000,ShipToCustomer_4899,Key_Account_252,Region_11
Customer_1000,ShipToCustomer_8150,Key_Account_252,Region_11
Customer_1001,ShipToCustomer_1118,Key_Account_118,Region_24
Customer_1001,ShipToCustomer_7036,Key_Account_118,Region_24
Customer_1001,ShipToCustomer_7427,Key_Account_118,Region_24
Customer_1001,ShipToCustomer_8402,Key_Account_118,Region_24
Customer_1002,ShipToCustomer_6275,Key_Account_81,Region_9
Customer_1004,ShipToCustomer_5015,Key_Account_327,Region_45
Customer_1005,ShipToCustomer_28,Key_Account_268,Region_25
Customer_1005,ShipToCustomer_8040,Key_Account_268,Region_25
Customer_1006,ShipToCustomer_1368,Key_Account_113,Region_1
Customer_1006,ShipToCustomer_6362,Key_Account_113,Region_1
Customer_1007,ShipToCustomer_1750,Key_Account_394,Region_45
Customer_1008,ShipToCustomer_2919,Key_Account_62,Region_2
Customer_1009,ShipToCustomer_2316,Key_Account_19,Region_47
Customer_1009,ShipToCustomer_3601,Key_Account_19,Region_47
Customer_1009,ShipToCustomer_4479,Key_Account_19,Region_47
Customer_101,ShipToCustomer_2669,Key_Account_271,Region_26
Customer_1011,ShipToCustomer_349,Key_Account_304,Region_13
Customer_1011,ShipToCustomer_5011,Key_Account_304,Region_13
Customer_1011,ShipToCustomer_5575,Key_Account_304,Region_13
Customer_1012,ShipToCustomer_3847,Key_Account_399,Region_45
Customer_1012,ShipToCustomer_9770,Key_Account_399,Region_45
Customer_1013,ShipToCustomer_4404,Key_Account_380,Region_19
Customer_1014,ShipToCustomer_2097,Key_Account_49,Region_12
Customer_1014,ShipToCustomer_5596,Key_Account_49,Region_12
Customer_1015,ShipToCustomer_5280,Key_Account_134,Region_35
Customer_1016,ShipToCustomer_5426,Key_Account_195,Region_44
Customer_1017,ShipToCustomer_2903,Key_Account_304,Region_13
Customer_1017,ShipToCustomer_7901,Key_Account_304,Region_13
Customer_1017,ShipToCustomer_8445,Key_Account_304,Region_13
Customer_1019,ShipToCustomer_4291,Key_Account_149,Region_4
Customer_1019,ShipToCustomer_6019,Key_Account_149,Region_4
Customer_1021,ShipToCustomer_3976,Key_Account_90,Region_21
Customer_1021,ShipToCustomer_8331,Key_Account_90,Region_21
Customer_1022,ShipToCustomer_9035,Key_Account_280,Region_32
Customer_1023,ShipToCustomer_1655,Key_Account_110,Region_46
Customer_1023,ShipToCustomer_788,Key_Account_110,Region_46
Customer_1024,ShipToCustomer_9971,Key_Account_325,Region_38
Customer_1025,ShipToCustomer_2474,Key_Account_201,Region_13
Customer_1025,ShipToCustomer_5647,Key_Account_201,Region_13
Customer_1027,ShipToCustomer_2383,Key_Account_343,Region_43
Customer_1028,ShipToCustomer_2128,Key_Account_29,Region_5
Customer_1028,ShipToCustomer_6049,Key_Account_29,Region_5
Customer_1028,ShipToCustomer_9663,Key_Account_29,Region_5
Customer_1030,ShipToCustomer_1011,Key_Account_384,Region_49
Customer_1030,ShipToCustomer_1502,Key_Account_384,Region_49
Customer_1030,ShipToCustomer_5774,Key_Account_384,Region_49
Customer_1030,ShipToCustomer_6541,Key_Account_384,Region_49
Customer_1030,ShipToCustomer_8701,Key_Account_384,Region_49
Customer_1031,ShipToCustomer_9814,Key_Account_81,Region_9
Customer_1033,ShipToCustomer_5215,Key_Account_208,Region_50
Customer_1033,ShipToCustomer_9726,Key_Account_208,Region_50
Customer_1035,ShipToCustomer_4837,Key_Account_105,Region_32
Customer_1036,ShipToCustomer_3473,Key_Account_288,Region_21
Customer_1036,ShipToCustomer_6056,Key_Account_288,Region_21
Customer_1038,ShipToCustomer_3571,Key_Account_352,Region_47
Customer_1039,ShipToCustomer_152,Key_Account_18,Region_10
Customer_1039,ShipToCustomer_6816,Key_Account_18,Region_10
Customer_104,ShipToCustomer_2679,Key_Account_21,Region_19
Customer_1041,ShipToCustomer_1726,Key_Account_209,Region_31
Customer_1041,ShipToCustomer_1902,Key_Account_209,Region_31
Customer_1041,ShipToCustomer_4808,Key_Account_209,Region_31
Customer_1043,ShipToCustomer_7269,Key_Account_201,Region_13
Customer_1043,ShipToCustomer_7719,Key_Account_201,Region_13
Customer_1045,ShipToCustomer_3100,Key_Account_196,Region_11
Customer_1046,ShipToCustomer_5209,Key_Account_80,Region_20
Customer_1047,ShipToCustomer_7814,Key_Account_88,Region_35
Customer_1048,ShipToCustomer_187,Key_Account_258,Region_39
Customer_1049,ShipToCustomer_5916,Key_Account_55,Region_12
Customer_1049,ShipToCustomer_8902,Key_Account_55,Region_12
Customer_105,ShipToCustomer_3951,Key_Account_74,Region_13
Customer_105,ShipToCustomer_3953,Key_Account_74,Region_13
Customer_1050,ShipToCustomer_2561,Key_Account_239,Region_49
Customer_1050,ShipToCustomer_5417,Key_Account_239,Region_49
