MATERIAL,Sourcing_Plant,Sourcing_Vendor
MAT000001,Plant_760,Vendor_442
MAT000002,Plant_502,Vendor_497
MAT000003,Plant_226,Vendor_775
MAT000004,Plant_202,Vendor_69
MAT000005,Plant_201,Vendor_945
MAT000006,Plant_357,Vendor_559
MAT000007,Plant_275,Vendor_857
MAT000008,Plant_688,Vendor_886
MAT000009,Plant_461,Vendor_578
MAT000010,Plant_791,Vendor_507
MAT000011,Plant_700,Vendor_707
MAT000012,Plant_63,Vendor_314
MAT000013,Plant_247,Vendor_666
MAT000014,Plant_476,Vendor_983
MAT000015,Plant_42,Vendor_8
MAT000016,Plant_649,Vendor_785
MAT000017,Plant_663,Vendor_65
MAT000018,Plant_680,Vendor_277
MAT000019,Plant_281,Vendor_294
MAT000020,Plant_605,Vendor_764
MAT000021,Plant_714,Vendor_122
MAT000022,Plant_769,Vendor_831
MAT000023,Plant_338,Vendor_32
MAT000024,Plant_258,Vendor_668
MAT000025,Plant_624,Vendor_303
MAT000026,Plant_282,Vendor_919
MAT000027,Plant_560,Vendor_188
MAT000028,Plant_619,Vendor_214
MAT000029,Plant_283,Vendor_722
MAT000030,Plant_766,Vendor_369
MAT000031,Plant_94,Vendor_523
MAT000032,Plant_406,Vendor_508
MAT000033,Plant_635,Vendor_411
MAT000034,Plant_786,Vendor_277
MAT000035,Plant_53,Vendor_942
MAT000036,Plant_279,Vendor_130
MAT000037,Plant_615,Vendor_558
MAT000038,Plant_82,Vendor_85
MAT000039,Plant_86,Vendor_684
MAT000040,Plant_776,Vendor_831
MAT000041,Plant_598,Vendor_570
MAT000042,Plant_431,Vendor_811
MAT000043,Plant_141,Vendor_468
MAT000044,Plant_733,Vendor_496
MAT000045,Plant_508,Vendor_83
MAT000046,Plant_628,Vendor_833
MAT000047,Plant_319,Vendor_202
MAT000048,Plant_65,Vendor_988
MAT000049,Plant_114,Vendor_553
MAT000050,Plant_86,Vendor_471
MAT000051,Plant_230,Vendor_775
MAT000052,Plant_169,Vendor_304
MAT000053,Plant_674,Vendor_642
MAT000054,Plant_739,Vendor_308
MAT000055,Plant_460,Vendor_863
MAT000056,Plant_165,Vendor_456
MAT000057,Plant_714,Vendor_673
MAT000058,Plant_533,Vendor_113
MAT000059,Plant_671,Vendor_396
MAT000060,Plant_366,Vendor_914
MAT000061,Plant_474,Vendor_470
MAT000062,Plant_786,Vendor_905
MAT000063,Plant_713,Vendor_846
MAT000064,Plant_346,Vendor_712
MAT000065,Plant_717,Vendor_850
MAT000066,Plant_190,Vendor_202
MAT000067,Plant_213,Vendor_340
MAT000068,Plant_182,Vendor_208
MAT000069,Plant_262,Vendor_919
MAT000070,Plant_732,Vendor_977
MAT000071,Plant_662,Vendor_273
MAT000072,Plant_423,Vendor_652
MAT000073,Plant_243,Vendor_301
MAT000074,Plant_187,Vendor_266
MAT000075,Plant_3,Vendor_714
MAT000076,Plant_80,Vendor_799
MAT000077,Plant_145,Vendor_34
MAT000078,Plant_754,Vendor_895
MAT000079,Plant_471,Vendor_411
MAT000080,Plant_798,Vendor_574
MAT000081,Plant_356,Vendor_81
MAT000082,Plant_38,Vendor_505
MAT000083,Plant_397,Vendor_753
MAT000084,Plant_782,Vendor_424
MAT000085,Plant_347,Vendor_536
MAT000086,Plant_247,Vendor_33
MAT000087,Plant_383,Vendor_123
MAT000088,Plant_689,Vendor_625
MAT000089,Plant_83,Vendor_595
MAT000090,Plant_280,Vendor_761
MAT000091,Plant_579,Vendor_749
MAT000092,Plant_439,Vendor_966
MAT000093,Plant_38,Vendor_309
MAT000094,Plant_264,Vendor_571
MAT000095,Plant_75,Vendor_669
MAT000096,Plant_140,Vendor_395
MAT000097,Plant_754,Vendor_217
MAT000098,Plant_523,Vendor_640
MAT000099,Plant_691,Vendor_844
MAT000100,Plant_115,Vendor_114
MAT000101,Plant_312,Vendor_669
MAT000102,Plant_239,Vendor_287
MAT000103,Plant_173,Vendor_767
MAT000104,Plant_593,Vendor_112
MAT000105,Plant_260,Vendor_823
MAT000106,Plant_133,Vendor_452
MAT000107,Plant_121,Vendor_232
MAT000108,Plant_363,Vendor_695
MAT000109,Plant_633,Vendor_353
MAT000110,Plant_370,Vendor_780
MAT000111,Plant_362,Vendor_415
MAT000112,Plant_759,Vendor_863
MAT000113,Plant_86,Vendor_73
MAT000114,Plant_577,Vendor_332
MAT000115,Plant_748,Vendor_470
MAT000116,Plant_161,Vendor_225
MAT000117,Plant_790,Vendor_67
MAT000118,Plant_341,Vendor_339
MAT000119,Plant_470,Vendor_734
MAT000120,Plant_655,Vendor_460
MAT000121,Plant_678,Vendor_245
MAT000122,Plant_507,Vendor_731
MAT000123,Plant_56,Vendor_715
MAT000124,Plant_720,Vendor_74
MAT000125,Plant_327,Vendor_948
MAT000126,Plant_317,Vendor_96
MAT000127,Plant_407,Vendor_594
MAT000128,Plant_306,Vendor_755
MAT000129,Plant_500,Vendor_842
MAT000130,Plant_109,Vendor_154
MAT000131,Plant_779,Vendor_560
MAT000132,Plant_16,Vendor_859
MAT000133,Plant_635,Vendor_275
MAT000134,Plant_129,Vendor_702
MAT000135,Plant_82,Vendor_857
MAT000136,Plant_558,Vendor_872
MAT000137,Plant_474,Vendor_119
MAT000138,Plant_91,Vendor_923
MAT000139,Plant_273,Vendor_998
MAT000140,Plant_524,Vendor_400
MAT000141,Plant_139,Vendor_234
MAT000142,Plant_694,Vendor_936
MAT000143,Plant_89,Vendor_995
MAT000144,Plant_644,Vendor_673
MAT000145,Plant_213,Vendor_683
MAT000146,Plant_579,Vendor_669
MAT000147,Plant_137,Vendor_947
MAT000148,Plant_723,Vendor_957
MAT000149,Plant_584,Vendor_147
MAT000150,Plant_643,Vendor_851
MAT000151,Plant_508,Vendor_701
MAT000152,Plant_719,Vendor_551
MAT000153,Plant_66,Vendor_771
MAT000154,Plant_456,Vendor_420
MAT000155,Plant_46,Vendor_734
MAT000156,Plant_273,Vendor_497
MAT000157,Plant_7,Vendor_571
MAT000158,Plant_691,Vendor_888
MAT000159,Plant_450,Vendor_913
MAT000160,Plant_783,Vendor_862
MAT000161,Plant_59,Vendor_777
MAT000162,Plant_313,Vendor_128
MAT000163,Plant_16,Vendor_207
MAT000164,Plant_754,Vendor_674
MAT000165,Plant_463,Vendor_25
MAT000166,Plant_214,Vendor_145
MAT000167,Plant_7,Vendor_982
MAT000168,Plant_464,Vendor_196
MAT000169,Plant_500,Vendor_835
MAT000170,Plant_338,Vendor_649
MAT000171,Plant_792,Vendor_673
MAT000172,Plant_229,Vendor_16
MAT000173,Plant_163,Vendor_231
MAT000174,Plant_385,Vendor_506
MAT000175,Plant_747,Vendor_845
MAT000176,Plant_291,Vendor_189
MAT000177,Plant_254,Vendor_963
MAT000178,Plant_22,Vendor_653
MAT000179,Plant_771,Vendor_801
MAT000180,Plant_447,Vendor_400
MAT000181,Plant_663,Vendor_534
MAT000182,Plant_328,Vendor_28
MAT000183,Plant_316,Vendor_500
MAT000184,Plant_344,Vendor_770
MAT000185,Plant_683,Vendor_493
MAT000186,Plant_29,Vendor_166
MAT000187,Plant_145,Vendor_51
MAT000188,Plant_763,Vendor_3
MAT000189,Plant_756,Vendor_320
MAT000190,Plant_132,Vendor_770
MAT000191,Plant_775,Vendor_402
MAT000192,Plant_543,Vendor_942
MAT000193,Plant_622,Vendor_390
MAT000194,Plant_704,Vendor_607
MAT000195,Plant_428,Vendor_79
MAT000196,Plant_699,Vendor_888
MAT000197,Plant_480,Vendor_640
MAT000198,Plant_562,Vendor_451
MAT000199,Plant_393,Vendor_684
MAT000200,Plant_146,Vendor_814
MAT000201,Plant_307,Vendor_186
MAT000202,Plant_293,Vendor_368
MAT000203,Plant_701,Vendor_975
MAT000204,Plant_480,Vendor_848
MAT000205,Plant_701,Vendor_233
MAT000206,Plant_291,Vendor_68
MAT000207,Plant_194,Vendor_943
MAT000208,Plant_311,Vendor_546
MAT000209,Plant_175,Vendor_747
MAT000210,Plant_330,Vendor_195
MAT000211,Plant_603,Vendor_434
MAT000212,Plant_490,Vendor_785
MAT000213,Plant_160,Vendor_155
MAT000214,Plant_503,Vendor_19
MAT000215,Plant_54,Vendor_168
