MATERIAL,Product_Type,Product_SubType
MAT000001,Product_Type_373,Product_SubType_373-6
MAT000002,Product_Type_778,Product_SubType_778-1
MAT000003,Product_Type_416,Product_SubType_416-4
MAT000004,Product_Type_1333,Product_SubType_1333-3
MAT000005,Product_Type_1187,Product_SubType_1187-2
MAT000006,Product_Type_1457,Product_SubType_1457-2
MAT000007,Product_Type_831,Product_SubType_831-2
MAT000008,Product_Type_1441,Product_SubType_1441-2
MAT000009,Product_Type_351,Product_SubType_351-4
MAT000010,Product_Type_24,Product_SubType_24-5
MAT000011,Product_Type_767,Product_SubType_767-3
MAT000012,Product_Type_1039,Product_SubType_1039-2
MAT000013,Product_Type_762,Product_SubType_762-2
MAT000014,Product_Type_424,Product_SubType_424-1
MAT000015,Product_Type_417,Product_SubType_417-3
MAT000016,Product_Type_650,Product_SubType_650-2
MAT000017,Product_Type_1287,Product_SubType_1287-1
MAT000018,Product_Type_575,Product_SubType_575-1
MAT000019,Product_Type_1034,Product_SubType_1034-7
MAT000020,Product_Type_512,Product_SubType_512-5
MAT000021,Product_Type_237,Product_SubType_237-7
MAT000022,Product_Type_841,Product_SubType_841-1
MAT000023,Product_Type_143,Product_SubType_143-1
MAT000024,Product_Type_1220,Product_SubType_1220-1
MAT000025,Product_Type_810,Product_SubType_810-3
MAT000026,Product_Type_464,Product_SubType_464-2
MAT000027,Product_Type_1415,Product_SubType_1415-1
MAT000028,Product_Type_110,Product_SubType_110-2
MAT000029,Product_Type_1024,Product_SubType_1024-5
MAT000030,Product_Type_48,Product_SubType_48-4
MAT000031,Product_Type_1433,Product_SubType_1433-3
MAT000032,Product_Type_637,Product_SubType_637-3
MAT000033,Product_Type_833,Product_SubType_833-1
MAT000034,Product_Type_1122,Product_SubType_1122-2
MAT000035,Product_Type_399,Product_SubType_399-1
MAT000036,Product_Type_232,Product_SubType_232-6
MAT000037,Product_Type_407,Product_SubType_407-1
MAT000038,Product_Type_1009,Product_SubType_1009-1
MAT000039,Product_Type_619,Product_SubType_619-2
MAT000040,Product_Type_1456,Product_SubType_1456-2
MAT000041,Product_Type_598,Product_SubType_598-1
MAT000042,Product_Type_396,Product_SubType_396-1
MAT000043,Product_Type_166,Product_SubType_166-1
MAT000044,Product_Type_1381,Product_SubType_1381-1
MAT000045,Product_Type_430,Product_SubType_430-1
MAT000046,Product_Type_1178,Product_SubType_1178-1
MAT000047,Product_Type_503,Product_SubType_503-2
MAT000048,Product_Type_441,Product_SubType_441-3
MAT000049,Product_Type_98,Product_SubType_98-5
MAT000050,Product_Type_102,Product_SubType_102-1
MAT000051,Product_Type_327,Product_SubType_327-2
MAT000052,Product_Type_1238,Product_SubType_1238-1
MAT000053,Product_Type_492,Product_SubType_492-1
MAT000054,Product_Type_377,Product_SubType_377-1
MAT000055,Product_Type_1462,Product_SubType_1462-2
MAT000056,Product_Type_1330,Product_SubType_1330-1
MAT000057,Product_Type_13,Product_SubType_13-3
MAT000058,Product_Type_1308,Product_SubType_1308-2
MAT000059,Product_Type_579,Product_SubType_579-1
MAT000060,Product_Type_951,Product_SubType_951-3
MAT000061,Product_Type_207,Product_SubType_207-2
MAT000062,Product_Type_678,Product_SubType_678-1
MAT000063,Product_Type_1281,Product_SubType_1281-2
MAT000064,Product_Type_269,Product_SubType_269-4
MAT000065,Product_Type_571,Product_SubType_571-4
MAT000066,Product_Type_246,Product_SubType_246-1
MAT000067,Product_Type_1247,Product_SubType_1247-2
MAT000068,Product_Type_661,Product_SubType_661-4
MAT000069,Product_Type_749,Product_SubType_749-3
MAT000070,Product_Type_1281,Product_SubType_1281-3
MAT000071,Product_Type_1364,Product_SubType_1364-4
MAT000072,Product_Type_85,Product_SubType_85-3
MAT000073,Product_Type_726,Product_SubType_726-1
MAT000074,Product_Type_1437,Product_SubType_1437-4
MAT000075,Product_Type_168,Product_SubType_168-1
MAT000076,Product_Type_576,Product_SubType_576-2
MAT000077,Product_Type_496,Product_SubType_496-3
MAT000078,Product_Type_500,Product_SubType_500-2
MAT000079,Product_Type_1192,Product_SubType_1192-4
MAT000080,Product_Type_441,Product_SubType_441-1
MAT000081,Product_Type_511,Product_SubType_511-4
MAT000082,Product_Type_1353,Product_SubType_1353-3
MAT000083,Product_Type_263,Product_SubType_263-3
MAT000084,Product_Type_858,Product_SubType_858-1
MAT000085,Product_Type_229,Product_SubType_229-3
MAT000086,Product_Type_344,Product_SubType_344-3
MAT000087,Product_Type_70,Product_SubType_70-1
MAT000088,Product_Type_911,Product_SubType_911-7
MAT000089,Product_Type_84,Product_SubType_84-4
MAT000090,Product_Type_1365,Product_SubType_1365-3
MAT000091,Product_Type_1187,Product_SubType_1187-3
MAT000092,Product_Type_270,Product_SubType_270-2
MAT000093,Product_Type_831,Product_SubType_831-4
MAT000094,Product_Type_1223,Product_SubType_1223-2
MAT000095,Product_Type_222,Product_SubType_222-2
MAT000096,Product_Type_923,Product_SubType_923-1
MAT000097,Product_Type_1186,Product_SubType_1186-3
MAT000098,Product_Type_545,Product_SubType_545-4
MAT000099,Product_Type_1050,Product_SubType_1050-2
MAT000100,Product_Type_621,Product_SubType_621-1
MAT000101,Product_Type_345,Product_SubType_345-3
MAT000102,Product_Type_1102,Product_SubType_1102-2
MAT000103,Product_Type_48,Product_SubType_48-1
MAT000104,Product_Type_1324,Product_SubType_1324-1
MAT000105,Product_Type_881,Product_SubType_881-3
MAT000106,Product_Type_533,Product_SubType_533-2
MAT000107,Product_Type_1024,Product_SubType_1024-4
MAT000108,Product_Type_696,Product_SubType_696-5
MAT000109,Product_Type_1355,Product_SubType_1355-3
MAT000110,Product_Type_957,Product_SubType_957-1
MAT000111,Product_Type_904,Product_SubType_904-2
MAT000112,Product_Type_1172,Product_SubType_1172-2
MAT000113,Product_Type_1418,Product_SubType_1418-2
MAT000114,Product_Type_279,Product_SubType_279-4
MAT000115,Product_Type_1113,Product_SubType_1113-3
MAT000116,Product_Type_1371,Product_SubType_1371-2
MAT000117,Product_Type_817,Product_SubType_817-1
MAT000118,Product_Type_1160,Product_SubType_1160-1
MAT000119,Product_Type_382,Product_SubType_382-4
MAT000120,Product_Type_390,Product_SubType_390-1
MAT000121,Product_Type_444,Product_SubType_444-1
MAT000122,Product_Type_738,Product_SubType_738-3
MAT000123,Product_Type_321,Product_SubType_321-1
MAT000124,Product_Type_66,Product_SubType_66-1
MAT000125,Product_Type_73,Product_SubType_73-3
MAT000126,Product_Type_675,Product_SubType_675-2
MAT000127,Product_Type_1135,Product_SubType_1135-1
MAT000128,Product_Type_1267,Product_SubType_1267-3
MAT000129,Product_Type_531,Product_SubType_531-1
MAT000130,Product_Type_699,Product_SubType_699-2
MAT000131,Product_Type_354,Product_SubType_354-1
MAT000132,Product_Type_171,Product_SubType_171-2
MAT000133,Product_Type_932,Product_SubType_932-1
MAT000134,Product_Type_175,Product_SubType_175-7
MAT000135,Product_Type_973,Product_SubType_973-3
MAT000136,Product_Type_82,Product_SubType_82-1
MAT000137,Product_Type_1074,Product_SubType_1074-3
MAT000138,Product_Type_591,Product_SubType_591-1
MAT000139,Product_Type_602,Product_SubType_602-1
MAT000140,Product_Type_1100,Product_SubType_1100-7
MAT000141,Product_Type_1178,Product_SubType_1178-1
MAT000142,Product_Type_398,Product_SubType_398-3
MAT000143,Product_Type_1119,Product_SubType_1119-3
MAT000144,Product_Type_740,Product_SubType_740-1
